x,y
1,0
0.99039264,0.0027043
0.96193977,0.01053119
0.91573481,0.02269211
0.85355339,0.03806359
0.77778512,0.05535788
0.69134172,0.07321013
0.59754516,0.09016391
0.5,0.1046205
0.40245484,0.11486132
0.30865828,0.11922192
0.22221488,0.11640269
0.14644661,0.10579741
0.08426519,0.08767147
0.03806023,0.06306353
0.00960736,0.03340606
0,0
0.00960736,-0.03340606
0.03806023,-0.06306353
0.08426519,-0.08767147
0.14644661,-0.10579741
0.22221488,-0.11640269
0.30865828,-0.11922192
0.40245484,-0.11486132
0.5,-0.1046205
0.59754516,-0.09016391
0.69134172,-0.07321013
0.77778512,-0.05535788
0.85355339,-0.03806359
0.91573481,-0.02269211
0.96193977,-0.01053119
0.99039264,-0.0027043
1,0
